PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
371,1,2,Passenger 371,female,32.0,0,0,TKT00371,4.0,nan,S
372,0,2,Passenger 372,male,,0,1,TKT00372,42.54,nan,C
373,0,3,Passenger 373,male,35.9,0,0,TKT00373,19.95,D33,S
374,0,3,Passenger 374,male,41.8,1,0,TKT00374,4.0,nan,S
375,0,3,Passenger 375,male,,0,0,TKT00375,28.7,nan,S
376,0,1,Passenger 376,male,35.9,0,0,TKT00376,50.43,G6,C
377,0,3,Passenger 377,female,25.4,0,0,TKT00377,26.87,nan,S
378,0,3,Passenger 378,male,29.9,0,2,TKT00378,32.07,nan,C
379,0,3,Passenger 379,male,30.5,1,0,TKT00379,14.45,nan,S
380,0,3,Passenger 380,female,32.0,0,0,TKT00380,4.53,nan,S
381,0,2,Passenger 381,male,,2,0,TKT00381,34.94,C85,Q
382,1,2,Passenger 382,female,36.8,1,0,TKT00382,81.43,nan,C
383,1,3,Passenger 383,female,29.6,0,0,TKT00383,49.58,nan,S
384,0,1,Passenger 384,male,17.7,0,0,TKT00384,4.09,A5,S
385,0,2,Passenger 385,male,29.9,0,0,TKT00385,5.98,nan,S
386,0,1,Passenger 386,female,28.6,3,0,TKT00386,10.21,nan,S
387,0,1,Passenger 387,female,31.7,0,1,TKT00387,5.62,nan,C
388,0,3,Passenger 388,female,,1,0,TKT00388,20.81,nan,C
389,0,3,Passenger 389,male,21.7,0,1,TKT00389,27.52,nan,S
390,0,2,Passenger 390,female,34.9,0,0,TKT00390,6.4,nan,S
391,0,2,Passenger 391,male,44.0,0,0,TKT00391,37.4,D33,S
392,1,2,Passenger 392,male,,0,0,TKT00392,32.49,nan,S
393,0,3,Passenger 393,male,61.7,0,0,TKT00393,12.95,nan,C
394,1,3,Passenger 394,female,23.7,0,0,TKT00394,17.5,nan,S
395,0,3,Passenger 395,male,,0,0,TKT00395,4.22,nan,S
396,0,2,Passenger 396,male,17.8,0,0,TKT00396,15.4,A5,S
397,1,2,Passenger 397,female,24.1,0,0,TKT00397,20.2,nan,Q
398,0,3,Passenger 398,male,,0,0,TKT00398,22.99,A5,S
399,0,3,Passenger 399,male,,1,0,TKT00399,27.2,nan,S
400,0,3,Passenger 400,male,33.5,1,0,TKT00400,24.42,nan,S
401,0,3,Passenger 401,male,46.6,0,1,TKT00401,16.26,nan,S
402,0,3,Passenger 402,female,,1,0,TKT00402,25.25,nan,S
403,0,2,Passenger 403,female,24.3,0,0,TKT00403,44.77,nan,S
404,1,2,Passenger 404,male,66.9,0,0,TKT00404,18.61,nan,S
405,0,2,Passenger 405,female,34.5,0,1,TKT00405,25.9,nan,S
406,1,1,Passenger 406,female,,4,0,TKT00406,17.31,nan,C
407,0,1,Passenger 407,male,19.3,1,2,TKT00407,11.97,nan,S
408,0,3,Passenger 408,female,15.8,1,0,TKT00408,30.52,nan,S
409,0,2,Passenger 409,male,42.1,0,0,TKT00409,12.88,nan,S
410,0,1,Passenger 410,female,23.9,1,0,TKT00410,27.36,nan,C
411,0,3,Passenger 411,female,30.8,1,0,TKT00411,20.54,nan,C
412,0,3,Passenger 412,female,,0,0,TKT00412,15.75,nan,C
413,0,2,Passenger 413,male,39.2,1,1,TKT00413,15.45,nan,S
414,0,3,Passenger 414,female,17.1,0,0,TKT00414,13.38,nan,S
415,0,3,Passenger 415,male,,0,0,TKT00415,5.38,nan,S
416,0,3,Passenger 416,male,32.1,0,0,TKT00416,27.28,nan,S
417,0,3,Passenger 417,male,,0,0,TKT00417,24.17,nan,S
418,1,1,Passenger 418,female,33.7,0,1,TKT00418,39.64,nan,S
419,0,3,Passenger 419,male,17.7,3,0,TKT00419,13.13,nan,S
420,1,2,Passenger 420,female,38.5,0,0,TKT00420,91.5,nan,S
421,0,3,Passenger 421,female,18.6,1,0,TKT00421,14.82,nan,S
422,0,3,Passenger 422,male,,0,0,TKT00422,9.97,nan,S
423,0,1,Passenger 423,male,15.8,1,1,TKT00423,9.07,nan,C
424,0,1,Passenger 424,male,47.2,1,0,TKT00424,5.02,nan,S
425,0,3,Passenger 425,male,37.9,0,1,TKT00425,68.45,C85,C
426,0,3,Passenger 426,female,37.5,0,1,TKT00426,60.15,nan,S
427,0,1,Passenger 427,male,46.5,0,0,TKT00427,32.48,B28,C
428,0,3,Passenger 428,female,68.4,0,1,TKT00428,9.81,nan,C
429,1,3,Passenger 429,male,5.1,1,0,TKT00429,85.54,nan,S
430,0,3,Passenger 430,female,18.7,0,0,TKT00430,15.16,A5,Q
431,0,3,Passenger 431,female,,1,0,TKT00431,16.2,C85,S
432,1,1,Passenger 432,female,,1,0,TKT00432,63.42,A5,S
433,1,3,Passenger 433,female,,1,0,TKT00433,34.03,B28,C
434,0,2,Passenger 434,female,24.8,0,1,TKT00434,116.85,nan,S
435,0,3,Passenger 435,male,12.0,0,0,TKT00435,24.51,nan,S
436,0,2,Passenger 436,male,33.7,1,0,TKT00436,14.62,nan,S
437,0,3,Passenger 437,male,29.7,0,0,TKT00437,12.31,nan,S
438,1,2,Passenger 438,male,35.7,0,0,TKT00438,4.58,nan,S
439,1,1,Passenger 439,female,,1,0,TKT00439,16.07,B28,S
440,0,3,Passenger 440,male,,0,0,TKT00440,50.18,A5,S
441,0,3,Passenger 441,female,23.8,4,0,TKT00441,32.43,nan,S
442,0,3,Passenger 442,male,58.7,1,0,TKT00442,20.41,nan,S
443,0,3,Passenger 443,female,32.3,0,0,TKT00443,9.06,nan,S
444,1,3,Passenger 444,male,2.9,0,0,TKT00444,24.08,nan,S
445,0,3,Passenger 445,male,,1,2,TKT00445,45.16,nan,S
446,1,1,Passenger 446,female,,1,2,TKT00446,28.35,nan,S
447,0,3,Passenger 447,female,29.2,0,1,TKT00447,22.95,nan,C
448,0,3,Passenger 448,male,,0,1,TKT00448,10.62,nan,C
449,1,2,Passenger 449,male,,0,0,TKT00449,40.2,nan,S
450,0,1,Passenger 450,male,,0,0,TKT00450,4.0,nan,S
451,0,3,Passenger 451,male,36.7,0,1,TKT00451,27.28,nan,C
452,0,3,Passenger 452,female,39.2,1,0,TKT00452,157.0,nan,C
453,0,3,Passenger 453,female,16.0,0,0,TKT00453,6.01,A5,S
454,0,3,Passenger 454,male,15.0,0,0,TKT00454,16.56,nan,S
455,1,3,Passenger 455,male,29.5,0,1,TKT00455,19.96,nan,S
456,0,2,Passenger 456,male,31.4,0,0,TKT00456,13.87,nan,S
457,0,2,Passenger 457,female,3.0,1,0,TKT00457,46.02,nan,C
458,0,2,Passenger 458,male,26.5,0,0,TKT00458,29.31,nan,S
459,1,1,Passenger 459,female,29.2,0,0,TKT00459,22.69,A5,S
460,0,3,Passenger 460,male,26.0,0,1,TKT00460,38.01,nan,S
461,0,3,Passenger 461,male,17.6,0,0,TKT00461,20.36,nan,C
462,0,2,Passenger 462,male,21.4,1,0,TKT00462,255.67,D33,S
463,0,2,Passenger 463,female,26.5,1,0,TKT00463,22.67,nan,C
464,0,3,Passenger 464,male,30.3,0,0,TKT00464,23.48,nan,S
465,0,1,Passenger 465,male,37.5,0,0,TKT00465,5.11,D33,S
466,0,3,Passenger 466,female,44.1,0,1,TKT00466,13.0,nan,S
467,1,3,Passenger 467,male,24.9,1,1,TKT00467,50.29,C85,S
468,1,3,Passenger 468,female,22.6,2,0,TKT00468,6.9,nan,Q
469,0,1,Passenger 469,male,35.1,0,0,TKT00469,4.0,A5,S
470,0,3,Passenger 470,male,,0,0,TKT00470,20.61,G6,S
471,0,2,Passenger 471,male,22.9,0,0,TKT00471,60.14,D33,S
472,0,3,Passenger 472,male,40.1,1,0,TKT00472,20.78,nan,S
473,0,1,Passenger 473,male,42.7,1,1,TKT00473,15.35,nan,S
474,0,3,Passenger 474,male,47.1,0,0,TKT00474,4.54,nan,C
475,0,3,Passenger 475,male,53.9,1,1,TKT00475,28.84,nan,S
476,0,1,Passenger 476,male,16.9,1,0,TKT00476,34.09,nan,S
477,0,1,Passenger 477,male,29.2,3,0,TKT00477,4.83,nan,S
478,0,1,Passenger 478,male,29.2,1,0,TKT00478,49.78,nan,S
479,0,2,Passenger 479,male,,1,2,TKT00479,37.06,nan,S
480,1,1,Passenger 480,male,,0,0,TKT00480,49.69,A5,S
481,0,3,Passenger 481,male,8.2,0,1,TKT00481,32.03,nan,S
482,0,2,Passenger 482,male,30.3,0,0,TKT00482,33.88,nan,S
483,0,3,Passenger 483,male,18.2,0,1,TKT00483,30.46,nan,C
484,0,3,Passenger 484,male,30.2,1,0,TKT00484,40.24,D33,C
485,0,1,Passenger 485,male,,1,0,TKT00485,4.69,nan,S
486,0,3,Passenger 486,male,,1,0,TKT00486,6.04,nan,S
487,0,3,Passenger 487,male,32.3,0,1,TKT00487,11.15,nan,S
488,0,3,Passenger 488,male,31.1,2,0,TKT00488,18.1,nan,S
489,0,2,Passenger 489,male,37.1,0,0,TKT00489,27.4,nan,S
490,0,2,Passenger 490,male,59.6,0,0,TKT00490,26.04,nan,S
491,0,1,Passenger 491,female,32.9,1,0,TKT00491,49.09,nan,C
492,0,3,Passenger 492,male,35.8,1,0,TKT00492,50.34,G6,S
493,0,3,Passenger 493,female,13.9,1,0,TKT00493,10.0,nan,S
494,0,3,Passenger 494,male,11.0,0,0,TKT00494,24.31,nan,S
495,1,1,Passenger 495,female,,4,1,TKT00495,10.19,B28,S
496,0,3,Passenger 496,male,16.1,0,1,TKT00496,17.28,nan,S
497,0,2,Passenger 497,male,14.4,0,0,TKT00497,25.98,nan,S
498,0,3,Passenger 498,male,,0,0,TKT00498,4.0,D33,S
499,0,1,Passenger 499,male,27.7,0,1,TKT00499,138.24,nan,C
500,1,3,Passenger 500,male,16.4,1,0,TKT00500,31.6,nan,C
501,0,3,Passenger 501,female,24.7,0,0,TKT00501,12.47,C85,S
502,1,1,Passenger 502,female,46.2,0,0,TKT00502,93.87,nan,Q
503,1,1,Passenger 503,female,17.7,0,0,TKT00503,15.21,E46,S
504,0,3,Passenger 504,male,9.5,0,1,TKT00504,22.33,nan,C
505,0,1,Passenger 505,male,42.2,1,1,TKT00505,13.6,nan,S
506,0,3,Passenger 506,female,35.9,1,0,TKT00506,75.31,D33,S
507,0,3,Passenger 507,male,,0,0,TKT00507,18.47,nan,S
508,1,3,Passenger 508,female,6.8,1,0,TKT00508,22.64,nan,S
509,0,2,Passenger 509,male,,0,0,TKT00509,52.62,E46,S
510,1,2,Passenger 510,male,28.2,0,0,TKT00510,32.08,nan,S
511,0,1,Passenger 511,male,45.3,1,0,TKT00511,19.23,nan,S
512,0,3,Passenger 512,female,14.5,0,0,TKT00512,48.83,nan,S
513,0,2,Passenger 513,male,,0,1,TKT00513,153.05,nan,S
514,1,1,Passenger 514,male,38.5,1,0,TKT00514,25.89,nan,Q
515,0,2,Passenger 515,male,0.5,0,0,TKT00515,22.05,nan,S
516,0,3,Passenger 516,male,43.5,1,0,TKT00516,23.02,E46,Q
517,0,1,Passenger 517,male,12.4,1,1,TKT00517,57.3,nan,S
518,1,3,Passenger 518,female,33.6,0,0,TKT00518,12.44,nan,S
519,0,3,Passenger 519,male,32.5,1,0,TKT00519,16.08,B28,S
520,0,3,Passenger 520,female,44.2,0,0,TKT00520,5.87,nan,S
521,1,3,Passenger 521,female,36.7,0,0,TKT00521,7.79,nan,S
522,0,3,Passenger 522,male,0.5,0,0,TKT00522,13.27,B28,C
523,0,3,Passenger 523,male,,1,2,TKT00523,19.21,nan,S
524,1,1,Passenger 524,male,30.9,1,1,TKT00524,82.7,nan,C
525,0,3,Passenger 525,male,26.3,0,1,TKT00525,30.84,nan,S
526,0,3,Passenger 526,male,35.7,0,0,TKT00526,9.68,nan,S
527,1,3,Passenger 527,female,40.1,1,0,TKT00527,11.22,nan,S
528,0,3,Passenger 528,female,,0,0,TKT00528,60.33,nan,Q
529,1,3,Passenger 529,female,26.0,1,1,TKT00529,49.47,nan,S
530,0,3,Passenger 530,male,,0,0,TKT00530,20.54,nan,S
531,0,3,Passenger 531,female,22.6,0,0,TKT00531,14.1,nan,S
532,0,3,Passenger 532,female,34.8,1,2,TKT00532,49.4,E46,S
533,0,2,Passenger 533,male,13.7,0,0,TKT00533,9.07,nan,Q
534,0,2,Passenger 534,male,37.8,0,0,TKT00534,27.48,nan,C
535,0,2,Passenger 535,male,,0,1,TKT00535,123.73,nan,S
536,0,1,Passenger 536,male,30.8,0,0,TKT00536,23.67,nan,Q
537,1,1,Passenger 537,male,0.5,0,1,TKT00537,10.8,nan,C
538,0,3,Passenger 538,male,11.1,0,1,TKT00538,27.89,B28,S
539,0,2,Passenger 539,male,55.4,0,0,TKT00539,13.79,nan,S
540,0,3,Passenger 540,female,21.3,1,0,TKT00540,6.58,B28,S
541,0,3,Passenger 541,female,1.2,0,0,TKT00541,35.19,nan,S
542,0,1,Passenger 542,male,46.3,2,1,TKT00542,49.12,nan,S
543,0,1,Passenger 543,female,,0,1,TKT00543,15.66,nan,S
544,1,1,Passenger 544,female,44.5,0,0,TKT00544,14.85,B28,Q
545,0,3,Passenger 545,male,32.9,0,1,TKT00545,9.31,A5,Q
546,0,1,Passenger 546,male,35.4,0,0,TKT00546,17.82,nan,S
547,0,3,Passenger 547,male,34.1,0,0,TKT00547,12.81,A5,S
548,0,3,Passenger 548,male,38.8,0,0,TKT00548,8.95,nan,S
549,0,3,Passenger 549,female,60.9,0,1,TKT00549,91.26,nan,S
550,0,1,Passenger 550,male,42.6,1,0,TKT00550,29.17,nan,S
551,0,1,Passenger 551,male,6.9,0,0,TKT00551,31.75,nan,S
552,1,1,Passenger 552,male,35.3,2,0,TKT00552,40.72,A5,S
553,1,1,Passenger 553,male,45.0,0,1,TKT00553,37.22,A5,S
554,0,1,Passenger 554,female,45.8,0,1,TKT00554,14.43,nan,S
555,0,3,Passenger 555,male,23.0,0,1,TKT00555,24.98,A5,S
556,0,3,Passenger 556,male,45.3,1,0,TKT00556,16.2,A5,C
557,0,3,Passenger 557,male,42.0,0,0,TKT00557,28.52,nan,S
558,0,3,Passenger 558,male,65.0,0,0,TKT00558,26.4,nan,S
559,0,1,Passenger 559,male,18.5,0,1,TKT00559,14.79,nan,S
560,0,3,Passenger 560,male,21.9,0,0,TKT00560,6.93,C85,S
561,0,3,Passenger 561,male,,0,1,TKT00561,22.58,nan,S
562,0,3,Passenger 562,male,22.1,1,0,TKT00562,17.06,D33,S
563,0,3,Passenger 563,female,16.5,0,1,TKT00563,4.43,nan,S
564,0,2,Passenger 564,male,0.5,0,1,TKT00564,30.15,nan,S
565,1,1,Passenger 565,male,22.9,0,1,TKT00565,43.48,nan,S
566,1,1,Passenger 566,female,,0,1,TKT00566,151.82,G6,S
567,0,2,Passenger 567,female,22.1,0,1,TKT00567,14.69,nan,S
568,0,3,Passenger 568,male,56.1,1,1,TKT00568,13.05,nan,S
569,0,2,Passenger 569,male,29.2,0,0,TKT00569,8.27,nan,S
570,0,3,Passenger 570,male,47.1,0,1,TKT00570,23.73,nan,S
571,0,3,Passenger 571,male,32.7,0,0,TKT00571,23.61,nan,S
572,0,1,Passenger 572,female,40.6,0,1,TKT00572,10.5,nan,S
573,0,2,Passenger 573,male,32.9,1,0,TKT00573,17.46,C85,S
574,1,3,Passenger 574,female,48.2,0,0,TKT00574,4.13,nan,S
575,0,3,Passenger 575,female,29.8,1,0,TKT00575,42.14,nan,S
576,0,2,Passenger 576,male,,0,0,TKT00576,10.84,A5,S
577,1,1,Passenger 577,female,34.1,0,0,TKT00577,19.54,nan,S
578,0,3,Passenger 578,male,,1,0,TKT00578,6.42,nan,C
579,0,1,Passenger 579,female,34.7,2,0,TKT00579,12.61,nan,Q
580,0,3,Passenger 580,male,60.3,3,0,TKT00580,16.06,nan,Q
581,0,1,Passenger 581,male,25.2,1,0,TKT00581,19.9,E46,S
582,0,1,Passenger 582,male,34.9,1,0,TKT00582,29.48,nan,S
583,0,3,Passenger 583,male,46.6,1,0,TKT00583,63.51,A5,S
584,1,3,Passenger 584,male,,1,0,TKT00584,36.1,nan,S
585,1,3,Passenger 585,female,,3,1,TKT00585,43.37,nan,S
586,0,2,Passenger 586,male,0.5,1,0,TKT00586,63.87,nan,S
587,0,3,Passenger 587,male,36.2,2,0,TKT00587,31.68,nan,S
588,0,3,Passenger 588,male,0.5,0,0,TKT00588,19.5,nan,S
589,0,3,Passenger 589,male,,0,3,TKT00589,45.03,nan,S
590,0,2,Passenger 590,male,31.4,1,0,TKT00590,47.39,nan,S
591,0,1,Passenger 591,female,43.0,1,0,TKT00591,33.75,nan,Q
592,0,3,Passenger 592,male,16.4,0,0,TKT00592,6.27,nan,S
593,0,1,Passenger 593,male,7.3,0,0,TKT00593,10.25,nan,S
594,0,3,Passenger 594,male,32.7,0,0,TKT00594,16.12,B28,Q
595,0,1,Passenger 595,male,28.5,1,0,TKT00595,37.48,nan,S
596,1,3,Passenger 596,male,,0,1,TKT00596,19.75,nan,S
597,0,3,Passenger 597,female,30.2,1,0,TKT00597,49.87,nan,S
598,0,3,Passenger 598,male,67.7,1,1,TKT00598,57.52,nan,S
599,0,3,Passenger 599,female,,0,0,TKT00599,52.42,nan,S
600,0,1,Passenger 600,male,43.7,0,0,TKT00600,52.69,nan,C
601,0,3,Passenger 601,male,40.8,0,0,TKT00601,8.76,nan,C
602,1,3,Passenger 602,female,49.7,0,0,TKT00602,29.55,nan,C
603,0,3,Passenger 603,female,26.3,1,0,TKT00603,12.35,E46,Q
604,1,2,Passenger 604,female,0.5,0,0,TKT00604,5.37,nan,S
605,0,3,Passenger 605,female,,0,0,TKT00605,15.96,nan,C
606,0,3,Passenger 606,female,40.4,0,0,TKT00606,57.96,nan,S
607,0,3,Passenger 607,female,,1,0,TKT00607,29.04,nan,S
608,0,2,Passenger 608,male,26.5,1,1,TKT00608,100.91,nan,C
609,0,3,Passenger 609,female,,0,0,TKT00609,23.15,nan,C
610,0,3,Passenger 610,male,50.0,0,0,TKT00610,142.34,G6,C
611,0,3,Passenger 611,male,39.5,0,1,TKT00611,23.15,nan,S
612,0,2,Passenger 612,female,38.1,1,1,TKT00612,20.45,C85,S
613,1,2,Passenger 613,female,37.7,0,0,TKT00613,7.22,nan,S
614,1,3,Passenger 614,female,28.5,1,0,TKT00614,48.84,nan,S
615,0,3,Passenger 615,male,31.8,3,0,TKT00615,13.44,A5,C
616,0,3,Passenger 616,female,12.4,1,1,TKT00616,11.97,E46,C
617,0,3,Passenger 617,female,0.5,1,0,TKT00617,55.98,D33,S
618,1,1,Passenger 618,male,31.1,2,0,TKT00618,50.73,nan,S
619,0,3,Passenger 619,male,33.5,2,0,TKT00619,49.68,D33,S
620,0,1,Passenger 620,male,,0,0,TKT00620,15.03,D33,S
621,0,1,Passenger 621,female,51.0,2,0,TKT00621,19.28,nan,S
622,0,3,Passenger 622,male,51.0,0,3,TKT00622,19.15,nan,Q
623,0,3,Passenger 623,female,15.0,1,0,TKT00623,37.56,nan,S
624,0,3,Passenger 624,male,24.1,0,0,TKT00624,69.61,nan,Q
625,0,2,Passenger 625,female,35.7,0,0,TKT00625,26.96,G6,S
626,0,1,Passenger 626,male,64.4,0,0,TKT00626,97.51,nan,C
627,0,3,Passenger 627,female,49.7,0,0,TKT00627,41.17,nan,S
628,0,1,Passenger 628,male,,1,0,TKT00628,16.65,nan,S
629,0,1,Passenger 629,male,23.6,1,0,TKT00629,38.98,nan,S
630,0,2,Passenger 630,female,,0,1,TKT00630,78.63,nan,S
631,0,3,Passenger 631,female,,0,0,TKT00631,99.35,nan,C
632,1,3,Passenger 632,female,,0,0,TKT00632,51.91,E46,S
633,0,3,Passenger 633,male,,0,0,TKT00633,20.5,nan,S
634,0,3,Passenger 634,male,27.4,0,1,TKT00634,16.89,nan,S
635,0,1,Passenger 635,male,51.3,0,2,TKT00635,31.84,C85,S
636,0,2,Passenger 636,male,,0,0,TKT00636,76.64,D33,S
637,1,3,Passenger 637,female,0.5,1,0,TKT00637,28.42,nan,S
638,0,1,Passenger 638,female,36.1,2,0,TKT00638,28.89,nan,S
639,0,2,Passenger 639,female,19.2,0,0,TKT00639,20.93,E46,S
640,0,2,Passenger 640,female,29.6,0,1,TKT00640,15.45,nan,C
641,1,1,Passenger 641,female,,0,1,TKT00641,17.64,A5,C
642,0,3,Passenger 642,female,25.2,0,1,TKT00642,22.38,nan,S
643,0,3,Passenger 643,male,,0,0,TKT00643,79.4,A5,S
644,0,1,Passenger 644,male,,0,0,TKT00644,16.58,nan,C
645,1,3,Passenger 645,male,21.8,0,0,TKT00645,20.95,nan,S
646,1,3,Passenger 646,female,,1,1,TKT00646,10.05,D33,Q
647,0,3,Passenger 647,male,,1,0,TKT00647,35.63,nan,S
648,0,3,Passenger 648,male,6.5,0,0,TKT00648,59.94,nan,S
649,0,2,Passenger 649,female,,0,0,TKT00649,73.67,B28,S
650,0,3,Passenger 650,male,44.7,1,0,TKT00650,23.63,nan,S
651,1,2,Passenger 651,male,28.4,0,0,TKT00651,31.8,nan,S
652,1,2,Passenger 652,female,1.5,0,0,TKT00652,17.76,A5,S
653,0,1,Passenger 653,female,38.9,1,0,TKT00653,30.64,B28,S
654,0,3,Passenger 654,male,5.8,0,0,TKT00654,25.82,nan,C
655,0,2,Passenger 655,female,33.3,1,1,TKT00655,21.04,nan,S
656,0,2,Passenger 656,male,16.6,0,0,TKT00656,22.43,B28,S
657,0,3,Passenger 657,female,12.8,0,0,TKT00657,28.83,E46,S
658,0,2,Passenger 658,male,22.8,0,0,TKT00658,15.87,nan,S
659,0,2,Passenger 659,male,26.4,1,0,TKT00659,16.54,nan,S
660,0,1,Passenger 660,male,,1,0,TKT00660,78.72,E46,S
661,0,2,Passenger 661,male,37.2,1,0,TKT00661,175.64,nan,S
662,0,2,Passenger 662,female,22.8,1,0,TKT00662,7.66,nan,S
663,0,2,Passenger 663,male,42.7,1,0,TKT00663,7.33,nan,S
664,1,1,Passenger 664,male,32.9,1,1,TKT00664,9.34,nan,S
665,0,3,Passenger 665,male,19.2,0,0,TKT00665,18.49,nan,C
666,0,3,Passenger 666,female,,0,0,TKT00666,41.13,B28,S
667,0,3,Passenger 667,female,5.9,0,0,TKT00667,32.23,nan,S
668,1,3,Passenger 668,female,33.1,0,1,TKT00668,23.05,nan,Q
669,0,3,Passenger 669,male,,0,0,TKT00669,30.67,nan,S
670,0,3,Passenger 670,male,,0,0,TKT00670,11.55,nan,S
671,0,3,Passenger 671,male,21.5,0,0,TKT00671,16.52,nan,C
672,0,3,Passenger 672,male,16.4,0,1,TKT00672,19.77,D33,S
673,0,3,Passenger 673,female,51.1,1,1,TKT00673,5.66,nan,C
674,1,3,Passenger 674,female,5.2,1,1,TKT00674,7.93,nan,S
675,0,3,Passenger 675,male,8.8,0,0,TKT00675,8.19,E46,Q
676,0,1,Passenger 676,male,44.5,0,1,TKT00676,37.01,nan,Q
677,0,1,Passenger 677,female,,1,0,TKT00677,24.44,nan,S
678,0,3,Passenger 678,male,18.6,1,1,TKT00678,32.75,nan,C
679,0,3,Passenger 679,male,20.2,0,1,TKT00679,4.61,nan,S
680,0,2,Passenger 680,male,37.6,0,2,TKT00680,6.13,A5,S
681,0,3,Passenger 681,male,0.5,1,0,TKT00681,34.14,nan,S
682,0,3,Passenger 682,male,,0,0,TKT00682,4.0,nan,S
683,0,3,Passenger 683,male,25.1,0,0,TKT00683,53.5,G6,S
684,0,1,Passenger 684,male,50.7,0,1,TKT00684,4.67,nan,S
685,0,1,Passenger 685,male,22.9,0,0,TKT00685,39.44,nan,S
686,1,3,Passenger 686,male,30.4,1,0,TKT00686,9.87,nan,S
687,0,3,Passenger 687,male,44.9,0,0,TKT00687,46.48,nan,C
688,1,3,Passenger 688,female,,1,1,TKT00688,261.52,G6,S
689,0,3,Passenger 689,female,20.9,0,0,TKT00689,4.0,nan,C
690,0,3,Passenger 690,male,28.8,2,2,TKT00690,35.03,nan,C
691,0,2,Passenger 691,male,54.5,0,1,TKT00691,4.73,nan,C
692,0,2,Passenger 692,female,,1,1,TKT00692,28.26,nan,S
693,0,2,Passenger 693,male,,3,0,TKT00693,17.02,nan,C
694,0,3,Passenger 694,male,14.7,0,0,TKT00694,22.28,nan,C
695,0,3,Passenger 695,female,30.4,1,0,TKT00695,9.69,nan,C
696,1,2,Passenger 696,male,25.6,0,0,TKT00696,37.5,nan,C
697,1,3,Passenger 697,female,15.6,1,0,TKT00697,6.3,nan,S
698,1,2,Passenger 698,male,15.2,0,0,TKT00698,54.23,nan,S
699,1,1,Passenger 699,female,32.9,0,0,TKT00699,14.48,nan,C
700,0,1,Passenger 700,male,42.9,0,0,TKT00700,6.54,nan,S
701,0,1,Passenger 701,male,27.2,0,0,TKT00701,71.95,nan,C
702,0,3,Passenger 702,male,30.0,0,2,TKT00702,19.03,nan,S
703,0,2,Passenger 703,male,37.0,1,0,TKT00703,92.4,nan,S
704,0,3,Passenger 704,female,,0,0,TKT00704,53.36,D33,S
705,0,3,Passenger 705,male,39.4,0,0,TKT00705,10.61,nan,S
706,0,1,Passenger 706,male,,1,1,TKT00706,18.77,nan,Q
707,0,1,Passenger 707,female,65.5,1,0,TKT00707,22.13,A5,S
708,0,3,Passenger 708,female,23.7,1,0,TKT00708,68.1,nan,S
709,0,2,Passenger 709,male,22.6,0,0,TKT00709,28.5,nan,S
710,0,3,Passenger 710,male,39.8,1,1,TKT00710,23.13,nan,Q
711,0,1,Passenger 711,female,,0,0,TKT00711,17.12,nan,S
712,0,3,Passenger 712,female,21.5,0,0,TKT00712,19.29,nan,S
713,0,3,Passenger 713,female,23.4,0,1,TKT00713,57.04,nan,S
714,0,1,Passenger 714,female,36.6,0,2,TKT00714,20.15,nan,S
715,0,2,Passenger 715,female,,1,1,TKT00715,14.64,nan,Q
716,0,3,Passenger 716,male,23.3,0,0,TKT00716,12.79,nan,Q
717,0,2,Passenger 717,male,,1,0,TKT00717,12.9,nan,S
718,0,2,Passenger 718,male,42.9,1,0,TKT00718,6.54,nan,S
719,1,2,Passenger 719,female,,0,0,TKT00719,11.02,A5,S
720,1,2,Passenger 720,female,3.2,0,0,TKT00720,66.6,nan,S
721,1,3,Passenger 721,male,2.2,1,0,TKT00721,17.03,nan,S
722,1,3,Passenger 722,male,11.4,1,0,TKT00722,35.29,nan,S
723,0,2,Passenger 723,male,10.6,0,0,TKT00723,4.0,nan,S
724,1,3,Passenger 724,female,26.8,0,0,TKT00724,31.65,nan,C
725,0,1,Passenger 725,male,12.4,0,0,TKT00725,17.65,nan,S
726,0,1,Passenger 726,male,19.2,0,2,TKT00726,13.67,nan,S
727,0,3,Passenger 727,male,18.2,0,0,TKT00727,23.21,nan,S
728,0,3,Passenger 728,male,22.8,0,0,TKT00728,13.51,nan,S
729,0,1,Passenger 729,male,47.5,1,1,TKT00729,4.0,nan,S
730,0,1,Passenger 730,male,38.3,0,1,TKT00730,42.01,nan,S
731,0,3,Passenger 731,male,29.2,0,0,TKT00731,24.4,nan,S
732,0,3,Passenger 732,male,22.5,0,1,TKT00732,15.62,D33,C
733,0,1,Passenger 733,male,22.9,0,1,TKT00733,9.27,nan,C
734,1,2,Passenger 734,male,33.6,1,0,TKT00734,6.2,nan,Q
735,0,3,Passenger 735,male,37.2,1,0,TKT00735,24.03,nan,S
736,0,2,Passenger 736,female,,0,0,TKT00736,73.02,nan,S
737,0,1,Passenger 737,male,,1,0,TKT00737,23.63,nan,S
738,0,1,Passenger 738,male,,0,0,TKT00738,6.64,nan,S
739,0,2,Passenger 739,male,32.0,3,0,TKT00739,24.05,nan,Q
740,0,3,Passenger 740,male,,0,0,TKT00740,19.25,E46,Q
741,0,3,Passenger 741,male,25.1,2,0,TKT00741,40.09,E46,S
742,0,3,Passenger 742,male,54.4,0,0,TKT00742,32.64,nan,S
